Game,Game Played,Date,Age,Year,Age(Y),Team,Home Away,Opp,WL,Started,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PM
10,10,11/18/2006,21-323,2006,21,CLE,Away,WAS,L (-12),1,33:20:00,8,20,0.4,0,1,0,4,5,0.8,2,3,5,4,2,0,3,2,20,12.1,-22
11,11,11/21/2006,21-326,2006,21,CLE,Home,MEM,W (+3),1,41:59:00,7,21,0.333,1,5,0.2,0,1,0,0,1,1,9,3,1,3,1,15,9.6,3
12,12,11/22/2006,21-327,2006,21,CLE,Away,TOR,L (-8),1,39:55:00,11,24,0.458,2,7,0.286,6,9,0.667,0,10,10,8,4,0,2,1,30,26.6,-7
13,13,11/24/2006,21-329,2006,21,CLE,Away,IND,L (-10),1,42:26:00,6,14,0.429,2,2,1,16,20,0.8,1,6,7,5,1,0,3,6,30,22.6,1
14,14,11/25/2006,21-330,2006,21,CLE,Home,PHI,W (+13),1,40:50:00,10,20,0.5,1,4,0.25,4,7,0.571,0,4,4,11,0,1,7,4,25,14.8,2
15,15,11/29/2006,21-334,2006,21,CLE,Home,NYK,L (-3),1,41:11:00,10,22,0.455,0,5,0,7,11,0.636,1,6,7,6,0,1,5,1,27,16,-4
16,16,12/1/2006,21-336,2006,21,CLE,Away,ATL,W (+11),1,42:55:00,12,23,0.522,1,3,0.333,6,10,0.6,2,5,7,8,3,2,4,4,31,25.4,8
17,17,12/2/2006,21-337,2006,21,CLE,Away,HOU,L (-18),1,35:44:00,7,22,0.318,2,6,0.333,5,7,0.714,1,4,5,4,0,0,3,2,21,8.5,-13
18,18,12/6/2006,21-341,2006,21,CLE,Home,TOR,W (+4),1,40:30:00,11,18,0.611,1,2,0.5,3,5,0.6,1,5,6,10,1,0,4,1,26,22.8,2
19,19,12/9/2006,21-344,2006,21,CLE,Home,IND,W (+32),1,31:52:00,11,16,0.688,1,3,0.333,4,6,0.667,0,7,7,6,1,1,3,0,27,24.4,28
20,20,12/11/2006,21-346,2006,21,CLE,Away,NOK,L (-6),1,41:36:00,7,18,0.389,0,3,0,1,1,1,3,4,7,6,4,0,3,1,15,13.3,-4
21,21,12/13/2006,21-348,2006,21,CLE,Home,CHA,W (+3),1,41:37:00,6,17,0.353,0,2,0,10,11,0.909,1,7,8,7,1,1,6,1,22,15.1,3
22,22,12/15/2006,21-350,2006,21,CLE,Home,SEA,W (+22),1,33:37:00,9,14,0.643,2,3,0.667,2,3,0.667,0,9,9,7,1,0,4,3,22,18.8,22
23,23,12/16/2006,21-351,2006,21,CLE,Away,ORL,L (-7),1,41:03:00,10,19,0.526,2,5,0.4,7,9,0.778,1,4,5,5,0,1,4,4,29,19.4,-7
24,24,12/20/2006,21-355,2006,21,CLE,Away,NJN,L (-2),1,40:11:00,10,22,0.455,1,3,0.333,16,21,0.762,0,1,1,8,2,1,3,4,37,27.6,8
25,25,12/21/2006,21-356,2006,21,CLE,Home,DET,L (-16),1,43:00:00,9,20,0.45,0,1,0,8,8,1,2,8,10,5,2,0,1,1,26,23.5,-20
26,26,12/23/2006,21-358,2006,21,CLE,Home,ORL,W (+3),1,42:54:00,13,21,0.619,2,3,0.667,4,10,0.4,0,7,7,1,0,0,7,1,32,15.5,3
27,27,12/27/2006,21-362,2006,21,CLE,Away,ATL,W (+13),1,39:31:00,10,25,0.4,1,2,0.5,6,8,0.75,1,8,9,3,1,2,1,1,27,18.9,23
28,28,12/29/2006,21-364,2006,21,CLE,Home,MIL,W (+10),1,44:01:00,11,21,0.524,2,6,0.333,8,13,0.615,1,3,4,5,1,1,3,5,32,21.5,11
29,29,12/30/2006,22-000,2006,22,CLE,Away,CHI,L (-7),1,40:19:00,15,26,0.577,3,4,0.75,0,3,0,2,7,9,3,1,0,5,4,33,19.6,6
30,30,1/2/2007,22-003,2007,22,CLE,Home,SAS,W (+4),1,40:14:00,7,17,0.412,0,1,0,5,11,0.455,0,5,5,5,2,0,3,1,19,11.1,6
31,31,1/3/2007,22-004,2007,22,CLE,Away,BOS,W (+3),1,44:47:00,11,20,0.55,2,3,0.667,8,10,0.8,1,5,6,4,3,1,3,0,32,27.3,3
32,32,1/5/2007,22-006,2007,22,CLE,Away,MIL,W (+9),1,42:50:00,3,13,0.231,0,4,0,2,2,1,0,5,5,9,1,0,2,1,8,6.5,9
33,33,1/6/2007,22-007,2007,22,CLE,Home,NJN,W (+5),1,44:00:00,9,21,0.429,1,3,0.333,0,0,,0,13,13,4,3,3,5,4,19,13.1,4
34,34,1/9/2007,22-010,2007,22,CLE,Away,SAC,W (+10),1,43:25:00,14,26,0.538,3,7,0.429,3,3,1,1,3,4,7,2,1,3,3,34,26.4,13
35,35,1/11/2007,22-012,2007,22,CLE,Away,PHO,L (-19),1,38:49:00,15,28,0.536,3,9,0.333,1,2,0.5,2,4,6,6,1,0,5,2,34,22,-20
36,36,1/13/2007,22-014,2007,22,CLE,Away,LAC,W (+12),1,42:02:00,10,23,0.435,0,1,0,8,8,1,1,5,6,6,1,0,2,4,28,19.7,14
37,37,1/16/2007,22-017,2007,22,CLE,Away,SEA,L (-5),1,43:34:00,8,21,0.381,1,7,0.143,13,15,0.867,1,6,7,8,2,1,4,0,30,24.5,-7
38,38,1/17/2007,22-018,2007,22,CLE,Away,POR,L (-18),1,35:07:00,8,21,0.381,1,4,0.25,6,13,0.462,3,3,6,2,1,0,4,0,23,10.1,-24
39,39,1/19/2007,22-020,2007,22,CLE,Away,DEN,L (-11),1,43:52:00,9,23,0.391,0,1,0,12,14,0.857,2,8,10,10,2,0,3,2,30,25.7,-3
40,40,1/20/2007,22-021,2007,22,CLE,Away,GSW,W (+2),1,45:52:00,14,22,0.636,2,7,0.286,2,5,0.4,0,7,7,5,4,0,9,2,32,20.8,5
41,41,1/22/2007,22-023,2007,22,CLE,Home,ORL,L (-11),1,43:23:00,6,15,0.4,0,3,0,6,13,0.462,0,4,4,5,3,0,2,2,18,12,-2
42,42,1/24/2007,22-025,2007,22,CLE,Home,PHI,L (-3),1,53:10:00,14,26,0.538,3,8,0.375,8,13,0.615,2,8,10,5,1,0,4,2,39,27.9,-8
43,,1/26/2007,22-027,2007,22,CLE,Away,PHI,W (+8),,,,,,,,,,,,,,,,,,,,,,
44,43,1/28/2007,22-029,2007,22,CLE,Home,PHO,L (-15),1,42:04:00,12,22,0.545,3,6,0.5,3,6,0.5,2,7,9,5,2,0,3,2,30,23.4,-8
45,,1/30/2007,22-031,2007,22,CLE,Home,GSW,W (+27),,,,,,,,,,,,,,,,,,,,,,
46,44,2/1/2007,22-033,2007,22,CLE,Away,MIA,L (-3),1,35:35:00,6,18,0.333,2,7,0.286,3,8,0.375,1,5,6,9,1,0,2,4,17,10.7,-12
47,45,2/2/2007,22-034,2007,22,CLE,Home,CHA,W (+20),1,35:39:00,7,13,0.538,0,1,0,4,8,0.5,1,9,10,3,2,0,1,1,18,16.2,17
48,46,2/4/2007,22-036,2007,22,CLE,Home,DET,L (-12),1,43:17:00,9,22,0.409,1,4,0.25,2,3,0.667,0,5,5,6,2,0,3,2,21,12.7,-12
49,47,2/7/2007,22-039,2007,22,CLE,Home,LAC,W (+17),1,36:19:00,4,13,0.308,1,2,0.5,2,2,1,0,7,7,3,1,1,2,1,11,7,15
50,48,2/9/2007,22-041,2007,22,CLE,Home,MIA,W (+24),1,41:08:00,12,22,0.545,1,4,0.25,4,8,0.5,1,6,7,6,0,0,2,1,29,21.1,22
51,49,2/11/2007,22-043,2007,22,CLE,Home,LAL,W (+9),1,38:21:00,5,16,0.313,0,2,0,8,12,0.667,1,7,8,5,1,1,1,3,18,13,3
52,50,2/14/2007,22-046,2007,22,CLE,Away,UTA,L (-1),1,42:39:00,9,25,0.36,0,3,0,5,9,0.556,3,7,10,4,1,3,0,2,23,16.8,10
53,51,2/15/2007,22-047,2007,22,CLE,Away,LAL,W (+6),1,39:48:00,10,16,0.625,0,1,0,18,22,0.818,0,4,4,3,3,0,3,4,38,30.9,4
54,52,2/21/2007,22-053,2007,22,CLE,Away,TOR,W (+1),1,36:49:00,12,25,0.48,0,1,0,5,5,1,0,4,4,2,1,1,3,3,29,16.4,5
55,53,2/22/2007,22-054,2007,22,CLE,Home,CHI,L (-6),1,42:58:00,13,28,0.464,1,4,0.25,2,8,0.25,3,4,7,2,3,0,3,1,29,16.5,3
56,54,2/25/2007,22-057,2007,22,CLE,Away,MIA,L (-5),1,41:30:00,10,22,0.455,2,5,0.4,7,12,0.583,0,3,3,7,0,1,2,2,29,19.3,6
57,55,2/27/2007,22-059,2007,22,CLE,Home,NOK,W (+8),1,42:50:00,14,22,0.636,3,4,0.75,4,7,0.571,1,4,5,8,2,1,4,1,35,29.8,16
58,56,3/1/2007,22-061,2007,22,CLE,Away,DAL,L (-3),1,39:58:00,17,27,0.63,1,4,0.25,4,8,0.5,0,3,3,5,0,0,2,2,39,26.9,-2
59,57,3/3/2007,22-063,2007,22,CLE,Home,TOR,W (+23),1,37:22:00,10,20,0.5,1,3,0.333,15,17,0.882,2,3,5,6,0,3,2,1,36,31.4,23
60,58,3/5/2007,22-065,2007,22,CLE,Home,HOU,W (+6),1,41:38:00,12,24,0.5,3,6,0.5,5,9,0.556,1,11,12,8,0,0,3,2,32,24.2,-1
61,59,3/7/2007,22-067,2007,22,CLE,Away,DET,W (+4),1,50:40:00,17,31,0.548,1,3,0.333,6,8,0.75,2,5,7,8,3,1,4,4,41,31.9,8
62,60,3/10/2007,22-070,2007,22,CLE,Away,MIL,W (+2),1,36:30:00,12,22,0.545,4,6,0.667,4,4,1,0,8,8,9,3,1,6,5,32,25.8,15
63,61,3/11/2007,22-071,2007,22,CLE,Home,IND,W (+11),1,38:42:00,10,22,0.455,2,6,0.333,4,5,0.8,3,4,7,6,3,1,2,2,26,22.6,23
64,,3/13/2007,22-073,2007,22,CLE,Home,SAC,W (+24),,,,,,,,,,,,,,,,,,,,,,
65,62,3/14/2007,22-074,2007,22,CLE,Away,MEM,W (+22),1,29:35:00,11,17,0.647,4,7,0.571,3,6,0.5,1,5,6,4,3,0,2,0,29,26.3,35
66,63,3/17/2007,22-077,2007,22,CLE,Home,UTA,W (+9),1,43:40:00,8,21,0.381,0,6,0,8,13,0.615,2,15,17,9,2,2,4,3,24,20.9,7
67,64,3/20/2007,22-080,2007,22,CLE,Away,CHA,L (-8),1,46:33:00,12,31,0.387,2,9,0.222,11,12,0.917,2,4,6,6,1,3,3,4,37,25,-5
68,65,3/21/2007,22-081,2007,22,CLE,Home,DAL,L (-8),1,45:27:00,12,28,0.429,1,6,0.167,6,7,0.857,0,6,6,4,2,3,6,3,31,17.3,-6
69,66,3/23/2007,22-083,2007,22,CLE,Home,NYK,W (+22),1,38:16:00,8,16,0.5,0,1,0,5,6,0.833,1,2,3,10,2,0,1,1,21,21.5,19
70,67,3/25/2007,22-085,2007,22,CLE,Home,DEN,L (-12),1,40:49:00,8,19,0.421,1,6,0.167,1,1,1,0,3,3,8,1,0,5,4,18,8.8,-13
71,68,3/27/2007,22-087,2007,22,CLE,Away,IND,W (+11),1,40:08:00,8,18,0.444,0,3,0,10,14,0.714,1,6,7,6,2,0,3,4,26,19.1,11
72,69,3/28/2007,22-088,2007,22,CLE,Away,NYK,L (-4),1,43:55:00,6,20,0.3,2,5,0.4,10,14,0.714,1,5,6,7,2,0,3,3,24,15.7,3
73,70,3/31/2007,22-091,2007,22,CLE,Away,CHI,W (+4),1,47:24:00,14,25,0.56,0,3,0,11,13,0.846,1,4,5,9,3,0,7,4,39,28.9,4
74,,4/1/2007,22-092,2007,22,CLE,Away,BOS,L (-2),,,,,,,,,,,,,,,,,,,,,,
75,71,4/3/2007,22-094,2007,22,CLE,Away,MIN,W (+13),1,41:49:00,13,24,0.542,0,2,0,5,5,1,2,10,12,6,4,1,2,1,31,30.3,21
76,72,4/5/2007,22-096,2007,22,CLE,Home,MIA,L (-4),1,48:36:00,11,21,0.524,2,5,0.4,11,13,0.846,2,7,9,5,0,0,4,4,35,25.3,3
77,73,4/6/2007,22-097,2007,22,CLE,Away,WAS,W (+5),1,44:25:00,7,23,0.304,0,3,0,11,14,0.786,0,6,6,5,1,1,2,3,25,14.3,5
78,74,4/8/2007,22-099,2007,22,CLE,Away,DET,L (-5),1,43:06:00,5,16,0.313,1,4,0.25,9,11,0.818,1,4,5,6,1,0,5,2,20,11.3,-11
79,75,4/12/2007,22-103,2007,22,CLE,Home,NJN,W (+18),1,35:15:00,15,27,0.556,0,1,0,5,9,0.556,3,5,8,4,2,1,2,1,35,27.2,21
80,76,4/14/2007,22-105,2007,22,CLE,Home,ATL,W (+34),1,31:57:00,8,16,0.5,3,6,0.5,4,5,0.8,1,4,5,6,1,1,0,1,23,22,25
81,77,4/17/2007,22-108,2007,22,CLE,Away,PHI,W (+6),1,36:03:00,7,15,0.467,0,2,0,4,7,0.571,1,4,5,6,0,0,1,3,18,13,-4
82,78,4/18/2007,22-109,2007,22,CLE,Home,MIL,W (+13),1,39:58:00,9,18,0.5,1,4,0.25,5,10,0.5,0,5,5,9,2,0,2,2,24,20,22
1,1,10/31/2007,22-305,2007,22,CLE,Home,DAL,L (-18),1,36:09:00,2,11,0.182,0,2,0,6,10,0.6,1,4,5,4,1,0,5,4,10,0.6,-12
2,2,11/2/2007,22-307,2007,22,CLE,Home,NYK,W (+4),1,44:25:00,13,28,0.464,3,5,0.6,16,22,0.727,3,4,7,7,3,1,3,1,45,36.7,4
3,3,11/4/2007,22-309,2007,22,CLE,Away,PHO,L (-11),1,43:13:00,11,26,0.423,3,5,0.6,2,2,1,1,4,5,8,2,4,3,0,27,22.5,-18
4,4,11/6/2007,22-311,2007,22,CLE,Away,GSW,W (+4),1,41:51:00,9,16,0.563,1,2,0.5,5,7,0.714,1,12,13,9,0,3,2,1,24,25.9,4
5,5,11/7/2007,22-312,2007,22,CLE,Away,UTA,L (-2),1,40:45:00,12,27,0.444,1,4,0.25,7,15,0.467,2,13,15,13,3,2,4,4,32,27.9,4
6,6,11/9/2007,22-314,2007,22,CLE,Away,SAC,W (+2),1,43:51:00,10,19,0.526,0,2,0,6,8,0.75,0,4,4,4,1,1,1,1,26,20.2,-1
7,7,11/11/2007,22-316,2007,22,CLE,Away,LAC,W (+8),1,35:55:00,9,21,0.429,0,2,0,4,8,0.5,1,4,5,8,6,1,5,3,22,17.3,11
